ug_course,ug_specialization,interests,skills,ug_score
bca,computer science,technology; web design,designing skills; java,76.855
be btech,electronics and communication engineering,data science,python; r,71.25
be btech,mechanical engineering,journalism,communication; excel; leadership; problem solving; reading; team work; work under pressure,70.3
be btech,computer science engineering,data analytics; data science; research; technology,aws; business knowledge; c; cloud computing; communication; data visualization; designing skills; interpersonal skills; leadership; machine learning; presentation; python; r; sql,69
mba,bba,interior design; market research; sales and marketing; social justice; social media marketing,active listening; business knowledge; communication; hardware; hospitality; mass communication; negotiation; problem solving; sales; social media marketing,66.5
be btech,mathematics,data analytics; industry; market research; product lifecycle management; sports industry,business knowledge; human resources; leadership; problem solving; product knowledge; risk management skills; sales,70
bba,statistics,financial analysis,analytical thinking; business knowledge; communication; data visualization; leadership; machine learning; negotiation; people management; problem solving; python; sql; wealth management,71
be btech,design,design,designing skills,68
be btech,mechanical engineering,data analytics,analytical thinking,72.2
be btech,mechanical engineering,human behavior; research; supply chain; technology; trading,active listening; communication; critical thinking; data visualization; hardware; leadership; machine learning; presentation; problem solving; python; risk management skills; sql; writing,77.07
be btech,electrical and electronics engineering,teaching,active listening; interpersonal skills; presentation; reading; teamwork; work under pressure,67.45
be btech,mechanical engineering,design,etabs; proeficiency in software like staad pro,68.4
bsc,chemistry,teaching,analytical thinking; critical thinking; problem solving; reading; team work,85.5
be btech,computer science engineering,gaming; information technology; market research; technology,java; linux; programming language skills; sql,80
bca,computer applications,technology; trading,active listening; gathering information; programming language skills,69.73
ba,english,teaching,active listening; communication; teaching,71.25
be btech,mechanical engineering,trading,c,59.85
bsc,computer science engineering,technology,active listening; java; programming language skills,74.1
ballb,law,legal services,civil criminal law; critical thinking; gathering information,70.585
be btech,electronics and communication engineering,technology,python,70
be btech,automobile engineering,sales and marketing,team work; work under pressure,64.6
be btech,econamy,financial analysis; human behavior; human biology; research; social justice; supply chain; teaching; technology; trading; web design,analytical thinking; business knowledge; civil criminal law; critical thinking; finance related skills; gathering information; people management; programming language skills,71
be btech,mechanical engineering,technology,observation skills; team work,73.15
bsc,computer science,data analytics; sales and marketing; supply chain,analytical thinking; human resources; machine learning; python; sales,65
ma,home science,gardening; human behavior,active listening; civil criminal law,56
bcom,accounts public finance econamics business studies,digital marketing,social media marketing,58
be btech,civil engineering,construction; construction management,construction management,64.6
be btech,civil engineering,construction; construction management; project management; urban planning,etabs; proeficiency in software like staad pro,78.185
bca,science,data science; information technology; technology,client management; communication; foreign languages french; hospitality; human resources; leadership; problem solving; spanish,72
be btech,computer science engineering,data analytics,no,66.5
be btech,electrical and electronics engineering,technology,machine learning; python,72.12
be btech,mechanical engineering,data analytics; data science; government job,data visualization; machine learning; programming language skills; python; sql; writing,70
ba,econamics,digital marketing; research; sales and marketing,business knowledge; designing skills; presentation; programming language skills; sales; social media marketing; writing,60
hsc,political science,entrepreneurship; human biology; sales and marketing,leadership; mass communication; reading; sales,59
be btech,electronics and communication engineering,data analytics,no,65.55
be btech,electronics and communication engineering,entrepreneurship; research; technology,analytical thinking; c; critical thinking; editing; excel; interpersonal skills; logical thinking; machine learning; presentation; python; reading; sql,76
be btech,automobile engineering,research; social justice; teaching; technology,leadership; problem solving; product knowledge,77.9
be btech,electronics and communication engineering,entrepreneurship; financial analysis; human behavior; journalism; research; sales and marketing; technology,analytical thinking; artificial intelligence; communication; creativity skills; critical thinking; designing skills; editing; interpersonal skills; leadership; logical thinking; machine learning; market research; mass communication; negotiation; observation skills; presentation; problem solving; python; reading; reporting; risk managing; sales; sql; team work; work under pressure,73.15
be btech,mechanical engineering,data analytics; data science; design; industry; research,machine learning; programming language skills; python,69.35
be btech,civil engineering,construction; construction management; urban planning,etabs; proeficiency in software like staad pro,86.45
be btech,civil engineering,construction; construction management; design; industry; infrastructure; social causes,etabs; proeficiency in software like staad pro,91.295
be btech,mechanical engineering,data analytics; technology,analytical thinking; critical thinking; programming language skills,73
bba,literature,social justice,analytical thinking,76
mtech,electrical and electronics engineering,supply chain; technology,artificial intelligence; communication; presentation,79
be btech,electrical and electronics engineering,teaching; technology; trading,architecture; people management,69
be btech,other,research; technology; trading,analytical thinking; leadership; negotiation; problem solving; programming language skills; python,67.45
be btech,electronics and communication engineering,entrepreneurship,java; sql,74.1
be btech,computer science engineering,gaming; government job; technology; web design; web development,editing; python,61
be btech,computer science engineering,design; service,hardware; it recruitment; python,61
be btech,computer science engineering,networking,networking,61
bsc,physics,technology,artificial intelligence; editing; problem solving; python,79.8
ba,general,data analytics; government job; infrastructure; journalism,business knowledge; people management; product knowledge,77
be btech,mechanical engineering,data analytics; data science; research; technology,analytical thinking; data visualization; excel; machine learning; programming language skills; python; sql,70.87
bcom,commerce,entrepreneurship,active listening; analytical thinking; business knowledge; communication; creativity skills; leadership; logical thinking; market research; observation skills; people management; presentation; product knowledge; team work; writing,28.5
be btech,computer science engineering,data analytics; data science,analytical thinking; communication; data visualization; editing; human resources; leadership; mass communication; people management; problem solving; python; teaching,79
be btech,electrical and electronics engineering,blockchain; digital marketing; gaming; information technology; web development,ansible; aws; bash; bash scripting; devops; docker; elasticsearch; elk; git; grafana; jenkins; kafka; kubernetes; linux; linux system administration; nginx; openstack; prometheus; redis,68.115
be btech,electrical and electronics engineering,data analytics,c; java; javascript; python,78.85
bsc,physics,technology,active listening; analytical thinking; artistic skills; business knowledge; c; communication; creativity skills; designing skills; editing; excel; gathering informing; news gathering; presentation; reading; sql; team work; writing,76.95
be btech,computer science,technology,artificial intelligence; machine learning; python; sql,81.13
bba,business administration,human behavior; retail; service; social causes,recruitment,76.95
msc,science,content writing; digital marketing; human biology; product lifecycle management,critical thinking; editing; gathering information; interpersonal skills; leadership; machine learning; medical knowledge; problem solving; product knowledge; writing,82
be btech,electronics,blockchain; construction; construction management; data analytics; digital marketing; financial analysis; machine learning; market research; research; sales and marketing; salesforce; social media marketing; sports industry; supply chain; technology,active listening; artistic creative skills; business knowledge; communication; content creation; critical thinking; data visualization; designing skills; gathering information; interpersonal skills; leadership; mass communication; negotiation; people management; presentation; problem solving; product knowledge; python; r; risk management skills; sales; social media marketing; sql; wealth management; writing,69
be btech,automobile engineering,entrepreneurship; financial analysis; sales and marketing; technology; trading,active listening; analytical thinking; business knowledge; critical thinking; gathering informing; interpersonal skills; leadership; market research; risk managing; team work; wealth management,71.63
be btech,automobile engineering,entrepreneurship; human behavior; human biology; journalism; research; social justice; technology,artistic skills; business knowledge; creativity skills; designing skills; editing; people management; product knowledge; team work,73.245
diploma,mechanical engineering,technology,critical thinking; leadership; people management; problem solving; product knowledge; sap,60
be btech,mechanical engineering,government job,communication; hardware; writing,79.23
degree,biotechnology,sales and marketing,sales,60
be btech,mechanical engineering,higher studies,no,73.15
be btech,computer science engineering,technology,artificial intelligence; machine learning; python,85.5
bcom,accounting and finance,financial analysis,accounting,82
bms,marketing,entrepreneurship; research; teaching; technology,communication; editing; gathering informing; observation skills; presentation; reading; subject knowledge,80
be btech,computer science engineering,content writing; data analytics; data science; technology; web design,business knowledge; c; data visualization; editing; java; leadership; machine learning; python; risk management skills; writing,83
bcom,accounting and finance,financial analysis,accounting; people management,72.2
bcom,accounting and finance,financial analysis; gaming; sales and marketing; technology; trading,accounting; business knowledge; finance related skills; risk management skills; wealth management,61.67
be btech,other,data analytics,python,85.5
bsc,computer science,data science; gardening; human behavior; information technology; social causes; social justice,active listening; business knowledge; communication; gathering information,70
bsc,mathematics,gaming; government job; teaching,analytical thinking; communication,52.2
be btech,computer science engineering,data analytics,no,66.5
be btech,mechanical engineering,data analytics,leadership; people management,78
ba,media and communication,content writing; human behavior; research; sales and marketing,active listening; artistic creative skills; communication; content creation; critical thinking; editing; gathering information; mass communication; negotiation; people management; presentation; problem solving; social media marketing; writing,82.65
be btech,computer science engineering,software development,android; css; html; javascript; php,78.85
be btech,elections and telecommunication engineering,human behavior; teaching; web design,cloud computing; java; python; sql,78.67
bca,computer applications,web development,cloud computing; java; programming language skills; sql,63.46
bcom,accounting and finance,entrepreneurship; financial analysis; journalism; research; sales and marketing; trading,accounting; active listening; analytical thinking; business knowledge; communication; cost accounting; critical thinking; excel; gathering informing; leadership; negotiation; people management; product knowledge,80.75
be btech,computer science engineering,software development,full stack development; sql,78.85
bca,software engineering,content writing; financial analysis; research; social justice; teaching; trading,analytical thinking; business knowledge; c; data visualization; java; linux; python,62.35
be btech,mechanical engineering,data science; digital marketing; interior design; journalism; market research; research; social media marketing; web development,c; programming language skills,73.32
be btech,computer science engineering,technology,java; python; sql,72.96
be btech,computer science engineering,data science; government job; technology,c; java; problem solving; sql,70
bcom,computer applications,teaching,derivatives,65.55
be btech,mechanical engineering,sap mm; supply chain,people management; sap,60.75
be btech,computer science engineering,data analytics,no,74.1
be btech,civil engineering,construction; construction management; government job; social justice; technology; urban planning,communication; critical thinking; hospitality; interpersonal skills; leadership; mass communication; people management; problem solving; risk management skills,76.11
ma,sociology,customer service; human behavior; sales and marketing; social causes,active listening; communication; hospitality; problem solving; product knowledge,51
mba,marketing,data analytics; data science; digital marketing; excel; machine learning; market research; sales and marketing; social media marketing; sports industry,active listening; analytical thinking; business knowledge; c; critical thinking; data visualization; interpersonal skills; python; r; social media marketing; sql,60
be btech,computer science engineering,software development,no,76
be btech,computer science engineering,technology,communication; sql,72.01
be btech,electronics and telecommunication engineering,data analytics; data science; design; digital marketing; government job; human behavior; industry; product lifecycle management; sales and marketing; social media marketing; supply chain; technology,active listening; artistic creative skills; communication; gathering information; hospitality; presentation; problem solving; python,71.345
bba,finance,financial analysis,business strategy; financial modeling; project finance,83.98
be btech,psychology,human behavior; human biology; research; social justice,accounting; active listening; artistic skills; civil criminal law; communication; creativity skills; designing skills; interpersonal skills; leadership; logical thinking; negotiation; observation skills; people management; problem solving; risk managing; work under pressure,85.5
be btech,computer science engineering,entrepreneurship; financial analysis; human behavior; human biology; journalism; research; sales and marketing; social justice; teaching; technology; trading,accounting; active listening; artistic skills; communication; critical thinking; java; machine learning; news gathering; product knowledge,60
bca,office management,data analytics; data science; digital marketing; gaming; government job; information technology; journalism; social media marketing; web design; web development,accounting; c; gathering information; hardware; hospitality; java; people management; programming language skills; python; risk management skills; sql; writing,60
be btech,electronics and telecommunication engineering,data science; information technology; technology; web development,programming language skills; python; sql,68.2
be btech,computer science engineering,financial analysis; technology,business knowledge; designing skills; gathering informing; leadership; sql; writing,74.4
ba,tamil,teaching,people management,74.1
bsc,programming,government job,sales,60
bsc,physics,teaching,teaching,86
bsc,computer science,data analytics; data science; teaching,leadership; php; problem solving; programming language skills; sql,57
be btech,electronics and communication engineering,content writing; human biology; journalism; social justice; teaching; trading,analytical thinking; artistic creative skills; civil criminal law; communication; critical thinking; etabs; hardware; linux; matlab; people management; proeficiency in software like staad pro; sales; social media marketing,61
be btech,computer science engineering,cloud computing; cyber security; data analytics; machine learning; technology,cyber security; cybersecurity incident response; endpoint security; information security; iso 27001; iso 27001 lead auditor; palo alto; pki; proofpoint; security; siem; sophoss; splunk; symantec endpoint protection; threat analysis; threat assessment; threat vulnerability management; vulnerability assessment; vulnerability management; vulnerability scanning,77.33
be btech,automobile engineering,entrepreneurship; human behavior; social justice; technology,business knowledge; civil criminal law; communication; critical thinking; excel; market research; negotiation; news gathering; product knowledge; team work; work under pressure,79.8
bcom,marketing,content writing; data analytics; digital marketing; gardening; government job; human behavior; information technology; infrastructure; interior design; research; social media marketing; technology; trading,active listening; analytical thinking; artistic creative skills; business knowledge; critical thinking; designing skills; gathering information; interpersonal skills; leadership; people management; problem solving; risk management skills; writing,50
be btech,electronics and communication engineering,data analytics; data science; excel; financial analysis; government job; teaching,c; editing; leadership; negotiation; python; teaching,75.05
journalism,media and communication,content writing; digital marketing; human behavior; sales and marketing; social justice; social media marketing,active listening; artistic creative skills; client management; communication; content creation; gathering information; mass communication; people management; problem solving; social media marketing; writing,68
bsc,computer applications,technology,business knowledge; communication,76
be btech,electronics and telecommunication engineering,technology,communication; matlab; problem solving; programming language skills; python,61.75
gnm nursing,hospitality,teaching; technology,logical thinking; observation skills; presentation; subject knowledge,76.95
bsc,microbiology,research,subject knowledge,96
be btech,information technalogy,financial analysis,active listening; analytical thinking; artificial intelligence; artistic skills; communication; creativity skills; critical thinking; designing skills; editing; excel; interpersonal skills; java; leadership; logical thinking; mass communication; presentation; product knowledge; reading; tableau; team work; work under pressure; writing,70.49
bcom,commerce,entrepreneurship; financial analysis,accounting,78.565
be btech,mechanical engineering,technology,c; creativity skills; critical thinking; editing; excel; linux; market research; problem solving; programming; python; team work,67.83
mca,computer science engineering,government job,accounting,65
be btech,biotechnalogy,biotechnology; human biology; research,environmental biotechnology; molecular biology; real time polymerase chain reaction qpcr,85.5
be btech,information technology,information technology; web development,artificial intelligence; c; java; linux; python; r; sql,75.05
be btech,computer science engineering,data science; research; technology,analytical thinking; artificial intelligence; gathering information; programming language skills; python,80.5
be btech,mechanical engineering,technology; trading,active listening; excel; logical skills interpersonal skills; presentation; programming; reading; teamwork; work under pressure,74.1
be btech,electrical and electronics engineering,technology,,75.05
be btech,computer science engineering,technology,communication; critical thinking; gathering information; java; leadership; people management; programming language skills; sql,70.3
be btech,automobile engineering,content writing; excel; government job; industry; oil and gas; sports industry; teaching; technology,active listening; communication; gathering information; presentation; product knowledge; writing,83.41
diploma,pharmacy,data analytics; data science; gaming; information technology,analytical thinking; communication; leadership; machine learning; programming language skills; python,61.75
pharmacy,mining engineering,data science,analytical thinking; artificial intelligence; communication; critical thinking; machine learning; programming language skills; python; sql,76
be btech,mechanical engineering,technology,analytical thinking; artificial intelligence; business knowledge; communication; data visualization; machine learning; matlab; problem solving; programming language skills; python; sql,83
be btech,be btech,electronics and communication engineering,python; sql,74.1
be btech,automobile engineering,trading,problem solving; wealth management,65.74
be btech,electronics and communication engineering,data analytics; data science; financial analysis; interior design; teaching; technology; trading,active listening; analytical thinking; artificial intelligence; artistic creative skills; communication; critical thinking; data visualization; leadership; negotiation; people management; problem solving; programming language skills; python; r; risk management skills; sql; writing,66.025
be btech,computer science engineering,cloud computing; cyber security; data analytics; machine learning; technology,application security; ethical hacking; owasp; penetration testing; python; shell scripting; vulnerability assessment; web application security,79.8
be btech,electrical and electronics engineering,design; industry; technology,etabs; proeficiency in software like staad pro,79.8
bsc,computer science,data science; gaming; teaching,machine learning; programming language skills; python; sql,65
bsc,chemistry,entrepreneurship; sales and marketing,active listening; artistic skills; communication; creativity skills; editing; excel; market research; product knowledge; sales; team work; work under pressure,67
be btech,computer science engineering,data analytics; research; technology,active listening; analytical thinking; artificial intelligence; business knowledge; cloud computing; communication; critical thinking; data visualization; finance related skills; gathering information; interpersonal skills; java; leadership; linux; machine learning; mass communication; people management; presentation; problem solving; product knowledge; programming language skills; python; sql; wealth management; writing,83.6
ballb,law,social causes; social justice,civil criminal law,71.25
be btech,computer science engineering,data analytics; data science; technology,artificial intelligence; c; data visualization; machine learning; sql,71.25
be btech,mechanical engineering,data analytics; data science; financial analysis; research; supply chain; technology; trading; web design,critical thinking; machine learning; programming language skills; python,73.15
be btech,computer science engineering,financial analysis; research; technology; trading,analytical thinking; artificial intelligence; business knowledge; c; java; machine learning; oracle; people management; programming; python; r; sql,85.88
be btech,information technology,entrepreneurship,active listening; analytical thinking; building rapport; c; critical thinking; interpersonal skills; java; leadership; logical thinking; oracle; people management; problem solving; programming; python; sql; subject knowledge; team work; writing,74.1
be btech,computer science engineering,data analytics; data science; gaming; technology; web design; web development,active listening; architecture; artificial intelligence; c; communication; data visualization; designing skills; gathering information; hardware; interpersonal skills; java; leadership; machine learning; negotiation; presentation; problem solving; programming language skills; python; r; risk management skills; sql; writing,85.88
be btech,computer science engineering,entrepreneurship; research; technology,creativity skills; excel; java; linux; programming; team work,66
be btech,computer science engineering,teaching; technology,active listening; excel; interpersonal skills; presentation; programming; reading; teamwork; work under pressure,70.3
economics,political science,government job,hospitality,45
bcom,other,sales and marketing,analytical thinking; business knowledge; client management; communication; finance related skills; negotiation; problem solving; product knowledge; risk management skills,59.85
be btech,civil engineering,teaching,active listening; interpersonal skills; presentation; reading; teamwork; work under pressure,76.95
be btech,electronics and communication engineering,teaching; technology,active listening; excel; interpersonal skills; presentation; programming; reading; teamwork; work under pressure,80.75
be btech,marketing,research; sales and marketing; supply chain,analytical thinking; artistic creative skills; communication; critical thinking; problem solving; sql,76
bba,human resources,human resources,human resources; negotiation,71.25
bcom,accounting and finance,financial analysis,active listening; artistic creative skills; communication; mass communication; problem solving,65
bba,human resources,content writing; market research,business knowledge; communication; finance related skills; negotiation; people management; presentation; problem solving; sales,74.1
ba,computer science engineering,technology,accounting; java; oracle; programming; python; sql,64.6
pharmacy,hospitality,research,excel; presentation; writing,71.155
bsc,chemistry,research,civil criminal law; work under pressure,80.75
be btech,mechanical engineering,financial analysis; human behavior; industry; journalism; market research; research; supply chain; technology,analytical thinking; business knowledge; communication; critical thinking; leadership; negotiation; problem solving; risk management skills; sap,65
be btech,mechanical engineering,data science; trading,analytical thinking; problem solving,62
ba,history,customer service; digital marketing; research; sales and marketing; social media marketing; trading,active listening; business knowledge; communication; sales,58
bcom,accounting and finance,data analytics; data science; financial analysis; human behavior; human biology; market research; research; teaching,accounting; active listening; critical thinking; gathering information; python,50
be btech,biotechnology,technology,analytical thinking; communication; critical thinking; interpersonal skills; java; leadership; observation skills; presentation; problem solving; programming; reading; reporting; sql; team work; work under pressure; writing,86.45
ba,history,journalism; teaching,active listening; communication; news gathering; reading; reporting; subject knowledge; work under pressure,68
be btech,automobile engineering,technology,linux; problem solving; team work,64.79
be btech,electronics and communication engineering,data analytics; data science; technology,active listening; designing skills; problem solving,69
be btech,electrical and electronics engineering,entrepreneurship; sales and marketing; technology,artificial intelligence; java,75
ba,electronics and telecommunication engineering,content writing; government job; interior design; research; social justice; teaching,designing skills; editing; people management; teaching; writing,90.25
ba,mechanical engineering,design; government job; research; social causes; social justice; teaching,active listening; client management; designing skills; editing; leadership; teaching; writing,68
be btech,computer science engineering,data analytics; data science; machine learning,analytical thinking; critical thinking; programming language skills; python,56
be btech,accounting and finance,research,analytical thinking; critical thinking; gathering informing,71.25
be btech,automobile engineering,technology,excel; linux; programming; python,63.84
bcom,mechanical engineering,financial analysis,accounting,76
be btech,accounting and finance,data science,active listening; business knowledge; designing skills; leadership; machine learning; people management; problem solving; product knowledge; python; risk management skills; sql,74.18
be btech,information technology,financial analysis; journalism; supply chain,analytical thinking; artificial intelligence; critical thinking; data visualization; machine learning; negotiation; problem solving; python; risk management skills; sql,80
bcom,statistics,financial analysis,company secretarial work; teamwork; time management,72.2
be btech,information technology,data analytics; data science; digital marketing,data visualization; risk management skills; sap; sql,77.9
bsc,information technology,research,machine learning; python,78.85
be btech,programming,entrepreneurship; technology,analytical thinking; business knowledge; communication; excel; java; observation skills; problem solving; product knowledge; reading; reporting; sql; subject knowledge; team work; work under pressure,69.35
be btech,design,financial analysis; research,analytical thinking; artificial intelligence; artistic skills; critical thinking; machine learning; python; sql,66.5
bca,electrical and electronics engineering,data analytics; government job; research; technology; web design,active listening; analytical thinking; artistic creative skills; business knowledge; c; communication; critical thinking; data visualization; editing; finance related skills; gathering information; hardware; java; leadership; linux; machine learning; mass communication; matlab; negotiation; presentation; problem solving; programming language skills; python; r; sql,76
bcom,mechanical engineering,design,designing skills; editing; sales,71.25
be btech,data structures and algorithms,data analytics; research; social justice; teaching; technology; trading; web design,accounting; active listening; analytical thinking; artistic creative skills; business knowledge; client management; communication; critical thinking; data visualization; designing skills; editing; finance related skills; hardware; hospitality; interpersonal skills; leadership; machine learning; mass communication; negotiation; people management; problem solving; programming language skills; risk management skills; sales; social media marketing; teaching; wealth management; writing,72
be btech,computer science engineering,data science,analytical thinking; cloud computing; communication; data visualization; leadership; machine learning; programming language skills; python; sql,81.795
be btech,electrical and electronics engineering,human behavior; human biology; technology,communication; leadership; work under pressure,61.75
mca,electrical and electronics engineering,data analytics; supply chain,analytical thinking; programming language skills; python; r,64
be btech,computer applications,software development,networking,78.85
be btech,civil engineering,software development,no,66.5
be btech,mechanical engineering,technology,artificial intelligence; c; linux; machine learning; python; r,56.05
be btech,electronics and communication engineering,design; information technology; technology,analytical thinking; artificial intelligence; data visualization; machine learning; programming language skills; python; r,65.265
be btech,business studies,agriculture; gardening; industry; service; services; supply chain,business knowledge; hospitality; machine learning; people management,63.59
be btech,computer science engineering,financial analysis; sales and marketing; technology; trading,artificial intelligence; c; communication; programming; python,76
bcom,electronics and communication engineering,service,accounting; active listening; analytical thinking; business knowledge; critical thinking; finance related skills; gathering information; hardware; human resources; leadership; mass communication; problem solving; product knowledge; risk management skills; writing,62.7
be btech,civil engineering,data science; machine learning; social causes; web development,ajax; angular; codeigniter; javascript; jira; jquery; loopback; node js; php; trello,76.95
be btech,mechanical engineering,teaching,active listening; presentation; team work; work under pressure,74.1
be btech,mechanical engineering,technology,accounting; active listening; artistic creative skills; communication; content creation; critical thinking; gathering information; leadership; negotiation,75
be btech,electronics and telecommunication engineering,data analytics,autocad,66.5
be btech,media and communication,content writing; market research; sales and marketing; technology,analytical thinking; artificial intelligence; business knowledge; critical thinking; leadership; python; sql; writing,69.635
be btech,computer science engineering,data analytics,active listening; gathering information; matlab; problem solving; python,73
journalism,mechanical engineering,government job; human behavior; journalism,communication; leadership; mass communication; problem solving; python,72
bsc,automobile engineering,data science; machine learning; web development,active listening; c; gathering information; programming language skills; python; sql,85.5
be btech,mechanical engineering,data analytics; data science; technology,artificial intelligence; business knowledge; communication; critical thinking; data visualization; hardware; leadership; programming language skills; python,71
be btech,business administration,research; social justice,analytical thinking; communication; designing skills; leadership; team work,69.635
be btech,civil engineering,entrepreneurship; financial analysis; technology,accounting; active listening; communication; excel; java; leadership; logical thinking; mass communication; negotiation; observation skills; presentation; problem solving; programming; reading; sql; team work; work under pressure; writing,68.875
bba,computer science engineering,financial analysis; trading,analytical thinking; critical thinking; market research,68
be btech,information technalogy,construction; construction management; design; government job; human behavior; infrastructure; technology,construction management; etabs; proeficiency in software like staad pro,77.9
be btech,electronics and communication engineering,technology,python; tableau,62
be btech,computer science engineering,technology,programming,60.8
be btech,accounting and finance,data analytics,python; r; sql,56
be btech,geography,government job; sports industry; technology,people management; programming language skills,62
bcom,computer applications,industry; infrastructure; journalism; market research; research; social causes; teaching,business knowledge,63
mba,business studies,retail,human resources,59
bca,automobile engineering,data analytics; data science,c; data visualization; java; problem solving,78
mba,computer science engineering,human behavior; market research; unknown,business knowledge; hardware,60
be btech,marketing,entrepreneurship,creativity skills,69.35
be btech,structural engineering,human biology; technology; web design; web development,active listening; communication; designing skills; gathering information; leadership; problem solving; python,65.55
agri diploma,chemical engineering,entrepreneurship; journalism; sales and marketing; trading,business knowledge; gathering informing; leadership; market research; observation skills; risk managing,58
be btech,management,customer service; trading,analytical thinking; artistic creative skills; civil criminal law; critical thinking; interpersonal skills; presentation; problem solving; risk management skills; writing,71.25
be btech,electronics and computer engineering,social causes; technology,communication; etabs; proeficiency in software like staad pro; refinery operations,81.795
bba,computer science,market research; sales and marketing,active listening; hardware; problem solving; risk management skills; sales,78
be btech,electronics and communication engineering,data analytics; data science; web design,analytical thinking; c; communication; content creation; data visualization; hardware; leadership; people management; programming language skills; python; r,84.455
be btech,commerce,content writing; design; human behavior; information technology; research,c; communication; designing skills; java; leadership; product knowledge; programming language skills; python; sql; writing,80.75
be btech,history,data science,people management,67
bcom,business studies,sales and marketing,business knowledge; communication; interpersonal skills; people management; presentation; problem solving; sales; social media marketing,64
ba,computer science engineering,teaching,teaching,98
bcom,econamics,content writing; financial analysis; social justice; social media marketing,accounting; business knowledge; communication; content creation; finance related skills; foreign languages french; hardware; social media marketing; spanish; teaching,71.25
bsc,electrical engineering,human behavior; technology,c; java; programming; r,76
ba,computer science engineering,government job; teaching,active listening; problem solving; teaching,62
be btech,computer applications,government job; industry; sap mm,c; designing skills; python,63.65
mca,instrumentation engineering,design; salesforce,cloud computing; critical thinking; designing skills; editing; leadership; mass communication; salesforce admin; sap,73
bca,electrical and electronics engineering,software testing,java,57
be btech,electrical and electronics engineering,design; industry; technology,automation,76
be btech,computer science engineering,agriculture; data analytics; research; services; teaching; technology,accounting; active listening; business knowledge; hardware; problem solving,77
be btech,computer science engineering,teaching,active listening; presentation; team work; work under pressure,74.1
be btech,computer science,machine learning,algorithms; android studio; backend development; bootstrap; c; competitive programming; css; data structures; database management system dbms; databases; debugging; git; hibernate; html; intellijidea; java; javascript; junit; linux; object oriented design; object oriented programming oop; postman; problem solving; react; software development; spring framework; webstorm; xcode,86.83
be btech,computer science,technology; web design,active listening; analytical thinking; communication; critical thinking; problem solving; programming language skills; python,63.65
bsc,marketing,web design,c; java; programming language skills; python,67
bsc,electronics and communication engineering,information technology; web development,c; communication; programming language skills,67
mba,computer applications,data analytics; sales and marketing; supply chain,active listening; analytical thinking; critical thinking; finance related skills,55
be btech,computer science,entrepreneurship; human behavior; trading,machine learning; python,74.1
bca,computer science engineering,teaching,teaching,81.795
mca,mechanical engineering,data analytics; technology; web design,artificial intelligence; data visualization; machine learning; python; r; sql,80
be btech,marketing,gaming,c; data structures; game development; object oriented programming oop; unity; unreal engine,70.965
dme,mechanical engineering,entrepreneurship; financial analysis; human behavior; human biology; journalism; social justice,reading; subject knowledge,76
pgdm,electrical and electronics engineering,data analytics; data science; digital marketing; information technology; social media marketing; technology; web development,risk management skills; social media marketing,50
be btech,science,data analytics; data science; research; technology,active listening; critical thinking; gathering information; people management; problem solving; risk management skills,69
be btech,english,entrepreneurship; technology,excel; logical thinking; machine learning; presentation; programming; python; sql; tableau; team work,77.9
bsc,mechanical engineering,data analytics; data science,analytical thinking; artificial intelligence; communication; data visualization; machine learning; problem solving; programming language skills; python; r; sql,55.33
bca,nathing,financial analysis; trading,analytical thinking,57
be btech,commerce,content writing; data analytics; data science; industry,accounting; active listening; analytical thinking; editing; hardware; human resources; programming language skills,61
diploma,computer science engineering,teaching,editing,54
bcom,computer science engineering,government job,accounting; content creation; critical thinking; editing,58.9
be btech,mechanical engineering,information technology; web design,programming language skills,52
be btech,statistics,data analytics; industry; research; social causes; social media marketing; sports industry; web development,aws; c; cloud computing; communication; content creation; critical thinking; editing; gathering information; java; leadership; linux; mass communication; matlab; negotiation; presentation; problem solving; programming language skills; python; risk management skills; salesforce admin; sap,80.75
be btech,automobile engineering,design; industry,cad cae autocad catia ansys proe seimensnx,68.495
bsc,mechanical engineering,data analytics; data science; financial analysis; research; sales and marketing; supply chain; teaching; technology,active listening; analytical thinking; artificial intelligence; artistic creative skills; automation; business knowledge; communication; critical thinking; gathering information; machine learning; people management; problem solving; python; writing,65
be btech,mechanical engineering,entrepreneurship,analytical thinking; critical thinking; problem solving,71.725
be btech,history,gardening; industry; research; social causes; supply chain; teaching,analytical thinking; artificial intelligence; artistic creative skills; communication; critical thinking; problem solving; risk management skills,71.3
be btech,design,data analytics; industry; technology; trading,machine learning; python,71.25
ba,mechanical engineering,data analytics; market research; supply chain; teaching; trading,active listening; analytical thinking; business knowledge; communication; leadership; problem solving; sales; social media marketing; teaching,50
be btech,agriculture biotechnalogy,design; web design,designing skills,66.975
be btech,mathematics,market research; research; sales and marketing,active listening; client management; communication; negotiation; problem solving,65
bsc,commerce,research,active listening; analytical thinking; excel; gathering informing; logical thinking; reporting; team work; work under pressure,81.795
bsc,information technalogy,government job; research,medical knowledge,76
bcom,statistics,human behavior,accounting,80.75
be btech,civil engineering,data analytics; technology; web design,analytical thinking; communication; data visualization; gathering information; interpersonal skills; leadership,80.75
bsc,data structures and algorithms,financial analysis; government job; social media marketing,business knowledge; c; critical thinking; java; leadership; risk management skills; sql,79
be btech,civil engineering,data analytics,analytical thinking; artificial intelligence; data visualization; machine learning; python,65.55
be btech,computer science,data analytics,machine learning; python; sql,65.55
