,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?
920,BA,English,Teaching,Active Listening;Good communication skills;Teaching,71.25
921,BE,Mechanical Engineering,Trading,C++,59.85
922,B.Sc,Computer Science Engineering,Technology,Active Listening;Programming Language skills;Java,74.1
923,BALLB,Law,Litigation & Legal service,Critical Thinking;Gathering Information;Civil & Criminal Law,70.585
924,B.Tech,Electronics and communication engineering,Technology,Python,70
925,BE,Automobile Engineering,Sales/Marketing,"Work under Pressure, Team work",64.6
926,BE,EcoNAmy ,Financial Analysis;Research;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Web Designing,Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law,71
927,B.Tech,Mechanical Engineering,Technology,"Team work, Observation Skills",73.15
928,B.Sc,Computers,Sales/Marketing;Supply Chain Analysis;Data analytics,Analytical Skills;Machine Learning skills;Sales;Python;HR,65
929,M.A,home science .,Understand human behaviour;Gardening ,Active Listening;Civil & Criminal Law,56
930,B.Com,"Accounts,public finance,ecoNAmics,business studies",Digital marketing,Social Media Marketing,58
931,B.Tech,Civil Engineering,Construction;Construction Manegement,construction management,64.6
932,B.Tech,Civil Engineering,Construction;Construction Manegement;Urban Planning;Project Management,"Proeficiency in Software like STAAD PRO, ETABS",78.185
933,BCA,Science ,Technology;Data scientist;Information Technology,"Communication skills;Leadership;Problem Solving skills;Hospitality;HR;Client management;Good communication skills;Foreign languages french, Spanish ",72
934,B.Tech,Computer Science Engineering,Data Analytics,NO,66.5
935,B.Tech,Electrical and Electronics Engineering,Technology,"ML, Python",72.12
936,BE,Mechanical Engineering,Data analytics;Govt. Job;Data scientist,Programming Language skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,70
937,BA,EcoNAmics,Research;Sales/Marketing;Digital marketing,Programming Language skills;Business Knowledge;Designing skills;Writing skills;Sales;Social Media Marketing;Presentation Skills,60
938,Hsc,Communication & Political Science,"Sales/Marketing, Entrepreneurship, Understand Human Body","Leadership, Mass Communication, Reading, Sales",59
939,B.Tech,Electronics and Communication Engineering,Data Analytics,NO,65.55
940,B.Tech,Electronics and Communication Engineering,"Research, Technology, Entrepreneurship","ML, Python, Critical Thinking, Analytic Thinking, SQL, Editing, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Reading",76
941,BE,Automobile Engineering,Research;Social Justice;Teaching;Technology,Leadership;Product knowledge;Problem Solving skills,77.9
942,B.Tech,Electronics and Communication Engineering,"Financial Analysis, News Coverage, Research, Sales/Marketing, Technology, Entrepreneurship, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, SQL, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Editing, Creativity Skills, Market Study, Team work, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills, Sales",73.15
943,B.Tech,Mechanical Engineering,Research;Data analytics;Data scientist;All fields related to Data science.;Industires;Design,Programming Language skills;Machine Learning skills;Python,69.35
944,B.Tech,Civil Engineering,Construction;Construction Manegement;Urban Planning,"Proeficiency in Software like STAAD PRO, ETABS",86.45
945,B.Tech,Civil Engineering,Infrastructure;Social causes;Industires;Design;Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",91.295
946,B.Tech,Mechanical engineering ,Technology;Data analytics,Programming Language skills;Critical Thinking;Analytical Skills,73
947,BBA,Literature,Social Justice,Analytic Thinking,76
948,M.Tech,Electrical and Electronics Engineering,Technology;Supply Chain Analysis,Communication skills;Presentation Skills;Artificial Intelligence,79
949,B.Tech,Electrical and Electronics Engineering,Teaching;Technology;Trading,People management;Architecture,69
950,B.Tech,fmhm,Research;Technology;Trading,Programming Language skills;Analytical Skills;Negotiation skills;Leadership;Problem Solving skills;Python,67.45
951,B.Tech,Electronics and Communication Engineering,Entrepreneurship,"Java, SQL",74.1
952,B.Tech,Computer Science Engineering,Technology;Web Designing;Govt. Job;Game industry;Web development,Editing;Python,61
953,B.Tech,Computer Science Engineering,Service;Design,Hardware skills;Python;Us & Canada Recruitment (IT),61
954,B.Tech,Computer Science Engineering,Network ,Network engineer ,61
955,B.Sc,Physics,Technology,"AI, Python, Editing, Problem Solving skills",79.8
956,BA,General,News Coverage;Data analytics;Govt. Job;Infrastructure,Business Knowledge;People management;Product knowledge,77
957,BE,Mechanical ,Research;Technology;Data analytics;Data scientist,Programming Language skills;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL;Excel,70.87
958,TYB.COM,Commerce,Entrepreneurship,"Active Listening, Analytic Thinking, Business Knowledge, People Management, Communication Skills, Leadership, Product Knowledge, Creativity Skills, Market Study, Team work, Logical Skills, Presentation Skills, Writing, Observation Skills",28.5
959,B.Tech,Computer Science Engineering,Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;People management;Communication skills;Mass Communication;Leadership;Editing;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;HR;Good communication skills;Teaching,79
960,B.Tech,Electrical and Electronics Engineering,"Web development,Information Technology,Blockchain,Digital marketing,Game industry",DevOps;Kubernetes;Docker;Jenkins;Linux;Bash Script;Grafana;Elastic Stack (ELK);Amazon Web Services (AWS);Git;Linux System Administration;Ansible;Elasticsearch;OpenStack;Apache Kafka;Redis;docker;Bash;prometheus;Nginx,68.115
961,B.Tech,Electrical and Electronics Engineering,Data Analytics,"C,C++,Java,JavaScript,Python",78.85
962,B.Sc,Physics,Technology,"Active Listening, Analytic Thinking, Gathering Informing, Artistic skills, Business Knowledge, SQL, Communication Skills, News Gathering, Editing, Creativity Skills, Team work, Excel, Presentation Skills, C++, Writing, Reading, Designing Skills",76.95
963,BE,Computer Science ,Technology,Machine Learning skills;Python;Artificial Intelligence;SQL,81.13
964,BBA,Business Administration,Understand human behaviour;Retailer;Service;Social causes,Recruiting,76.95
965,M.Sc,Science,Understand human body;Content Writing;Digital marketing;Product Life cycle Management,Critical Thinking;Gathering Information;Leadership;Editing;Product knowledge;Problem Solving skills;Writing skills;Machine Learning skills;Interpersonal skills;Medical knowledge,82
966,B.Tech,Electronics ,Financial Analysis;Research;Sales/Marketing;Technology;Supply Chain Analysis;Data analytics;Digital marketing;Market reserach;Social media marketing;Machine Learning;Sports Industry;Blockchain;Salesforce Admin;Construction;Construction Manegement,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Sales;Social Media Marketing;Interpersonal skills;Wealth Management;Presentation Skills;R;Python;SQL;Content creation;Good communication skills,69
967,BE,Automobile Engineering,"Financial Analysis, Sales/Marketing, Technology, Trading, Entrepreneurship","Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, Leadership, Market Study, Team work, Interpersonal Skills, Wealth Management, Risk Managing",71.63
968,B.E,Automobile Engineering,"News Coverage, Research, Social Justice, Technology, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Artistic skills, Business Knowledge, People Management, Editing, Product Knowledge, Creativity Skills, Team work, Designing Skills",73.245
969,Diploma,Mechanical Machines ,Technology,Critical Thinking;People management;Leadership;Product knowledge;Problem Solving skills;SAP,60
970,BE,Mechanical Engineering,Govt. Job,Hardware skills;Writing skills;Good communication skills,79.23
971,Degree,Bio technology,Sales/Marketing,Sales,60
972,B.Tech,Mechanical Engineering,Further Studies,NO,73.15
973,B.Tech,Computer Science Engineering,Technology,"AI, ML, Python",85.5
974,B.Com,Accountancy,Financial Analysis,Accounting Skills,82
975,BMS,Sales & Marketing,"Research, Teaching, Technology, Entrepreneurship","Gathering Informing, Communication Skills, Editing, Presentation Skills, Observation Skills, Reading, Subject Knowledge",80
976,B.Tech,Computer Science Engineering,Technology;Web Designing;Content Writing;Data analytics;Data scientist,Business Knowledge;Leadership;Editing;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Python;Java,83
977,B.Com,Accounts,Financial Analysis,Accounting Skills;People management,72.2
978,B.Com,Accountancy,Financial Analysis;Sales/Marketing;Technology;Trading;Game industry,Accounting Skills;Business Knowledge;Finance related skills;Risk management skills;Wealth Management,61.67
979,B.Tech,CEE,Data Analytics,Python,85.5
980,B.Sc,Computers,Social Justice;Understand human behaviour;Gardening;Social causes;All fields related to Data science.;Information Technology,Active Listening;Gathering Information;Business Knowledge;Good communication skills,70
981,B.Sc,Mathematics,Teaching;Govt. Job;Game industry,Analytical Skills;Communication skills,52.2
982,BE,Computer Science Engineering,Data Analytics,NO,66.5
983,B.Tech,Mechanical Engineering,Data analytics,People management;Leadership,78
984,BA,Advertising,Research;Sales/Marketing;Understand human behaviour;Content Writing,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Social Media Marketing;Presentation Skills;Content creation,82.65
985,B.Tech,Computer Science Engineering,Software Job,"JS, PHP,CSS,HTML, Android",78.85
986,BE,Elections and telecommunication engineering,Teaching;Understand human behaviour;Web Designing,Python;SQL;Java;Cloud Computing,78.67
987,BCA,Computer Applications,Web development,Programming Language skills;SQL;Java;Cloud Computing,63.46
988,B.Com,Accountancy,"Financial Analysis, News Coverage, Research, Sales/Marketing, Trading, Entrepreneurship","Accounting Skills, Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Cost Accounting, Excel",80.75
989,B.Tech,Computer Science Engineering,Software Job,"Full stack, SQL",78.85
990,BCA,Software Development,Financial Analysis;Research;Social Justice;Teaching;Trading;Content Writing,Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Java,62.35
991,B.Tech,Mechanical Engineering ,News Coverage;Research;Digital marketing;Home interior design;Data scientist;Web development;Market reserach;Social media marketing,Programming Language skills;C++,73.32
992,B.Tech,Computer Science Engineering,Technology,"Python, Java, SQL",72.96
993,BE,Computer Science Engineering,Technology;Govt. Job;Data scientist,Problem Solving skills;C++;SQL;Java,70
994,B.Com,Computer Applications,Teaching,Derivatives,65.55
995,BE,Mechanical Engineering,Supply Chain Analysis;SAP Consultant in MM,People management;SAP,60.75
996,B.Tech,Computer Science Engineering,Data Analytics,NO,74.1
997,BE,Civil Engineering ,Social Justice;Technology;Govt. Job;Construction;Construction Manegement;Urban Planning ,Critical Thinking;People management;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Interpersonal skills;Hospitality;Good communication skills,76.11
998,MA,Sociology,Sales/Marketing;Understand human behaviour;Social causes;Customer care,Active Listening;Communication skills;Product knowledge;Problem Solving skills;Hospitality,51
999,MBA,Marketing,Sales/Marketing;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing;All fields related to Data science.;Machine Learning;Sports Industry;Excel,Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Social Media Marketing;Interpersonal skills;C++;R;Python;SQL,60
1000,B.Tech,Computer Science Engineering,Software Job,NO,76
1001,B.Tech,Computer Science Engineering,Technology,"SQL, Communication Skills",72.01
1002,B.Tech,Electronics and Telecommunication,Sales/Marketing;Technology;Understand human behaviour;Supply Chain Analysis;Data analytics;Govt. Job;Digital marketing;Data scientist;Social media marketing;All fields related to Data science.;Industires;Design;Product Life cycle Management,Active Listening;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Presentation Skills;Python;Hospitality,71.345
1003,BBA,Financial Analyst,Financial Analysis,"
Project Finance;Financial Modeling;Business Strategy",83.98
1004,B.Tech,Psychology,"Research, Social Justice, Understand Human Behaviour, Understand Human Body","Accounting Skills, Active Listening, Artistic skills, People Management, Civil & Criminal Law, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Logical Skills, Interpersonal Skills, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills",85.5
1005,B.Tech,Computer Science Engineering,"Financial Analysis, News Coverage, Research, Sales/Marketing, Social Justice, Take risk for Profits, Teaching, Technology, Trading, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Accounting Skills, Active Listening, ML, Critical Thinking, Artistic skills, Java, Communication Skills, News Gathering, Product Knowledge",60
1006,BCA,Office management,News Coverage;Web Designing;Data analytics;Govt. Job;Game industry;Digital marketing;Data scientist;Web development;Social media marketing;Information Technology,Accounting Skills;Hardware skills;Programming Language skills;Gathering Information;People management;Risk management skills;Writing skills;C++;Python;SQL;Java;Hospitality,60
1007,BE,Entc,Technology;Data scientist;Web development;All fields related to Data science.;Information Technology,Programming Language skills;Python;SQL,68.2
1008,B.Tech,Computer Science Engineering,"Financial Analysis, Technology","Gathering Informing, Business Knowledge, SQL, Leadership, Writing, Designing Skills",74.4
1009,BA,Tamil,Teaching,People management,74.1
1010,B.Sc,Programs,Govt. Job,Sales,60
1011,B.Sc,Physics,Teaching,Teaching ,86
1012,B.Sc,computer science,Teaching;Data analytics;Data scientist,Programming Language skills;Leadership;Problem Solving skills;SQL;PHP,57
1013,BE,Electronics and Communication Engineering,News Coverage;Social Justice;Teaching;Trading;Understand human body;Content Writing,"Hardware skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Sales;Social Media Marketing;Linux;Proeficiency in Software like STAAD PRO, ETABS;MATLAB",61
1014,B.Tech,Computer Science Engineering,"Cyber Security,Technology,Data analytics,Machine Learning,Cloud computing","
Threat & Vulnerability Management;Endpoint Security;Vulnerability Assessment;ISO 27001;Information Security;proofpoint;Palo Alto Networks;Symantec Endpoint Protection;SophosS;Vulnerability Management;Security Information and Event Management (SIEM);Threat Analysis;Threat Assessment;Splunk;ISO 27001 Lead Auditor;Pki;Cyber Security Risk;Cybersecurity Incident Response;Vulnerability Scanning;Security",77.33
1015,B.E,Automobile Engineering,"Social Justice, Take risk for Profits, Technology, Entrepreneurship, Understand Human Behaviour","Critical Thinking, Business Knowledge, Civil & Criminal Law, Communication Skills, Negotiation Skills, Work under Pressure, News Gathering, Product Knowledge, Market Study, Team work, Excel",79.8
1016,B.Com,Marketing,Research;Technology;Trading;Understand human behaviour;Content Writing;Data analytics;Govt. Job;Digital marketing;Home interior design;Social media marketing;Gardening;Infrastructure;Information Technology,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Interpersonal skills,50
1017,B.Tech,Electronic and Communication Engineering,Financial Analysis;Teaching;Data analytics;Govt. Job;Data scientist;Excel,Negotiation skills;Leadership;Editing;Python;Teaching;Programming Language C,75.05
1018,Master of journalism,Journalism ,Sales/Marketing;Social Justice;Understand human behaviour;Content Writing;Digital marketing;Social media marketing,Active Listening;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation;Client management,68
1019,B.Sc,Computer Applications,Technology,"Business Knowledge, Communication Skills",76
1020,BE,Electronics and telecommunication,Technology,Programming Language skills;Communication skills;Problem Solving skills;Python;MATLAB,61.75
1021,G. N. M Nurshing,Hospitality,"Teaching, Technology","Logical Skills, Presentation Skills, Observation Skills, Subject Knowledge",76.95
1022,B.Sc,Microbiology genetics,Research,Subject Knowledge,96
1023,B.Tech,Information TechNAlogy,Financial Analysis,"Active Listening, AI, Critical Thinking, Analytic Thinking, Artistic skills, Java, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Mass Communication, Writing, Tableau, Reading, Designing Skills",70.49
1024,B.Com,Commerce,"Financial Analysis, Entrepreneurship",Accounting Skills,78.565
1025,B.Tech,Mechanical Engineering,Technology,"Python, Critical Thinking, Programming, Editing, Creativity Skills, Market Study, Team work, Excel, C++, Linux, Problem Solving skills",67.83
1026,MCA,Computer Science Engineering,Govt. Job,Accounting Skills,65
1027,B.Tech,BiotechNAlogy,"Research,Understand human body,BioTechnology","Real-Time Polymerase Chain Reaction (qPCR);
Environmental Biotechnology;
Molecular Biology",85.5
1028,B.Tech,Information Technology,Web development;Information Technology,C++;R;Linux;Python;Artificial Intelligence;SQL;Java,75.05
1029,B.Tech,Computer Science Engineering,Research;Technology;Data scientist,Programming Language skills;Gathering Information;Analytical Skills;Python;Artificial Intelligence,80.5
1030,B.Tech,Mechanical Engineering,"Technology,Trading","Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading",74.1
1031,B.Tech,Electrical and Electronics Engineering,Technology,,75.05
1032,B.Tech,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Gathering Information;People management;Communication skills;Leadership;SQL;Java,70.3
1033,BE,Automobile Engineering,Teaching;Technology;Content Writing;Govt. Job;Industires;Sports Industry;Oil and Gas;Excel,Active Listening;Gathering Information;Communication skills;Product knowledge;Writing skills;Presentation Skills;Good communication skills,83.41
1034,Diploma,Pharmaceutical sciences,Data analytics;Game industry;Data scientist;Information Technology,Programming Language skills;Analytical Skills;Communication skills;Leadership;Machine Learning skills;Python,61.75
1035,B.Pharmacy,Mining ,Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Machine Learning skills;Python;Artificial Intelligence;SQL,76
1036,B.Tech,Mechanical engineering ,Technology,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL;MATLAB,83
1037,B.Tech,B.tech,Electronics and communication Engineering,"Python, SQL",74.1
1038,BE,Automobile Engineering,Trading,"Wealth Management, Problem Solving skills",65.74
1039,B.Tech,Electronics and Communication Engineering,Financial Analysis;Teaching;Technology;Trading;Data analytics;Home interior design;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );R;Python;Artificial Intelligence;SQL;Good communication skills,66.025
1040,B.Tech,Computer Science Engineering,"Technology,Data analytics,Machine Learning,Cloud computing,Cyber Security",Web Application Security;Vulnerability Assessment;OWASP;Penetration Testing;Shell Scripting;Python (Programming Language);Ethical Hacking;Web Application Security Assessment;Application Security,79.8
1041,B.Tech,Electrical and Electronics Engineering,Technology;Industires;Design,"Proeficiency in Software like STAAD PRO, ETABS",79.8
1042,B.Sc,Computer Science ,Teaching;Game industry;All fields related to Data science.,Programming Language skills;Machine Learning skills;Python;SQL,65
1043,B.Sc,Chemistry,"Sales/Marketing, Take risk for Profits","Active Listening, Artistic skills, Communication Skills, Work under Pressure, Editing, Product Knowledge, Creativity Skills, Market Study, Team work, Excel, Sales",67
1044,BE,Computer Science Engineering,Research;Technology;Data analytics,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Wealth Management;Presentation Skills;Linux;Python;Artificial Intelligence;SQL;Java;Cloud Computing,83.6
1045,BALLB,Law,Social Justice;Social causes,Civil & Criminal Law,71.25
1046,B.Tech,Computer Science Engineering,Technology;Data analytics;Data scientist;All fields related to Data science.,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Artificial Intelligence;SQL,71.25
1047,BE,Mechanical engineering ,Financial Analysis;Research;Technology;Trading;Supply Chain Analysis;Web Designing;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Machine Learning skills;Python,73.15
1048,B.Tech,Computer Science Engineering,"Financial Analysis, Research, Technology, Trading","AI, ML, Python, Analytic Thinking, Business Knowledge, Java, SQL, Oracle, Programming, People Management, C++, R",85.88
1049,B.Tech,Information Technology,Entrepreneurship,"Active Listening, Python, Critical Thinking, Analytic Thinking, Java, SQL, Oracle, Programming, People Management, Leadership, Team work, Logical Skills, Interpersonal Skills, C++, Problem Solving skills, Writing, Building Rapport, Subject Knowledge",74.1
1050,B.Tech,Computer Science Engineering ,Technology;Web Designing;Data analytics;Game industry;Data scientist;Web development,Active Listening;Hardware skills;Programming Language skills;Gathering Information;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;C++;Presentation Skills;R;Python;Artificial Intelligence;SQL;Java;Architecture;Good communication skills,85.88
1051,B.Tech,Computer Science Engineering,"Research, Technology, Entrepreneurship","Java, Programming, Creativity Skills, Team work, Excel, Linux",66
1052,B.Tech,Computer Science Engineering,"Technology,Teaching","Active Listening, Programming, Work under Pressure, Teamwork,Excel, Interpersonal Skills, Presentation skills, Reading",70.3
1053,Economics ,Political science,Govt. Job,Hospitality,45
1054,B.Com,Mar,Sales/Marketing,Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Client management,59.85
1055,B.Tech,Civil Engineering,Teaching,"Active Listening, Work under Pressure,Teamwork,Interpersonal Skills, Presentation skills, Reading",76.95
1056,B.Tech,Electronics and Communication Engineering,"Technology,Teaching","Active Listening, Programming, Work under Pressure, Teamwork,Excel, Interpersonal Skills, Presentation skills, Reading",80.75
1057,B.Tech,Marketing ,Research;Sales/Marketing;Supply Chain Analysis,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Communication skills;Problem Solving skills;SQL,76
1058,BBA,Human Resource,Human Resource ,Negotiation skills;HR,71.25
1059,B.Com,Accountancy,Financial Analysis,Active Listening;Artistic/Creative Skills;Communication skills;Mass Communication;Problem Solving skills,65
1060,BBA,Human Resource,Content Writing;Market reserach,Business Knowledge;Finance related skills;People management;Communication skills;Negotiation skills;Problem Solving skills;Sales;Presentation Skills,74.1
1061,BAC,Computer Science Engineering,Technology,"Accounting Skills, Python, Java, SQL, Oracle, Programming",64.6
1062,B.Pharm,Hospitality,Research,"Excel, Presentation Skills, Writing",71.155
1063,B.Sc,Chemistry,Research,"Civil & Criminal Law, Work under Pressure",80.75
1064,BE,Mechanical Engineering,Financial Analysis;News Coverage;Research;Technology;Understand human behaviour;Supply Chain Analysis;Market reserach;Industires,Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Good communication skills;SAP,65
1065,BE,Mechanical Engineering,Trading;Data scientist,Analytical Skills;Problem Solving skills,62
1066,BA,"History, sociology,",Research;Sales/Marketing;Trading;Digital marketing;Social media marketing;Customer care,Active Listening;Business Knowledge;Communication skills;Sales,58
1067,B.Com,Accounts and Statistics,Financial Analysis;Research;Teaching;Understand human behaviour;Understand human body;Data analytics;Data scientist;Market reserach;All fields related to Data science.,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Python,50
1068,B.Tech,Biotechnology,Technology,"Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Reporting, Reading",86.45
1069,BA,History,"News Coverage, Teaching","Active Listening, Communication Skills, Work under Pressure, News Gathering, Reporting, Reading, Subject Knowledge",68
1070,B.E,Automobile Engineering,Technology,"Team work, Linux, Problem Solving skills",64.79
1071,B.Tech,Electronics and Communication Engineering,Technology;Data analytics;Data scientist,Active Listening;Problem Solving skills;Designing skills,69
1072,B.Tech,Electrical and Electronics Engineering,"Sales/Marketing, Technology, Entrepreneurship","AI, Java",75
1073,BA,Electronic and telecommunications ,Research;Social Justice;Teaching;Content Writing;Govt. Job;Home interior design,People management;Editing;Designing skills;Writing skills;Teaching,90.25
1074,BA,Mechanical Engineering,Research;Social Justice;Teaching;Govt. Job;Social causes;Design,Active Listening;Leadership;Editing;Designing skills;Writing skills;Client management;Teaching,68
1075,BE,Computer Science Engineering,Data analytics;Data scientist;Machine Learning,Programming Language skills;Critical Thinking;Analytical Skills;Python,56
1076,B.Tech,Accountancy,Research,"Critical Thinking, Analytic Thinking, Gathering Informing",71.25
1077,B.Tech,Automobile ,Technology,"Python, Programming, Excel, Linux",63.84
1078,B.Com,Mechanical Engineering,Financial Analysis,Accounting Skills,76
1079,BE,Accounting  and Finance,Data scientist,Active Listening;Business Knowledge;People management;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL,74.18
1080,BE,Information Technology,Financial Analysis;News Coverage;Supply chain analysis,Critical Thinking;Analytical Skills;Negotiation skills;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL,80
1081,B.Com,Statistics,Financial Analysis,Teamwork;Time Management;Company Secretarial Work;,72.2
1082,B.Tech,Information Technology,Data analytics;Digital marketing;Data scientist,Risk management skills;Data Visualization skills( Power Bi/ Tableau );SQL;SAP,77.9
1083,B.Sc,Information Technology,Research,"ML, Python",78.85
1084,B.Tech,"C, C++, java, SQL, MYSql, Unix, Html, Mathematics, Statistics","Technology, Entrepreneurship","Analytic Thinking, Business Knowledge, Java, SQL, Communication Skills, Work under Pressure, Product Knowledge, Team work, Excel, Problem Solving skills, Observation Skills, Reporting, Reading, Subject Knowledge",69.35
1085,B.Tech,Design,"Financial Analysis, Research","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, SQL",66.5
1086,BCA,Electrical and Electronics Engineering,Research;Technology;Web Designing;Data analytics;Govt. Job,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;R;Linux;Python;SQL;Java;MATLAB,76
1087,B.Com,Mechanical Engineering,Design ,"Editing, Designing Skills, Sales",71.25
1088,B.Tech,Data Structures & Algorithm,Research;Social Justice;Teaching;Technology;Trading;Web Designing;Data analytics,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Social Media Marketing;Interpersonal skills;Wealth Management;Hospitality;Client management;Good communication skills;Teaching,72
1089,B.Tech,Computer Science Engineering,Data scientist,Programming Language skills;Analytical Skills;Leadership;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL;Cloud Computing;Good communication skills,81.795
1090,B.Tech,Electrical and Electronics Engineering,"Technology, Understand Human Behaviour, Understand Human Body","Communication Skills, Work under Pressure, Leadership",61.75
1091,MCA,Electrical and Electronics Engineering,Supply Chain Analysis;Data analytics,Programming Language skills;Analytical Skills;R;Python,64
1092,B.Tech,Computer Applications,Software Job,networking,78.85
1093,B.Tech,Civil Engineering,Software Job,NO,66.5
1094,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python, C++, R, Linux",56.05
1095,B.Tech,Electronics and communication Engineering,Technology;Design;Information Technology,Programming Language skills;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,65.265
